Galaxy,FH? (aW/m^2),e_Fha,FH? (aW/m^2),e_Fha,FH? (aW/m^2),e_Fha,Distance (Mpc),e_Dist (Mpc),Distance (m),e_Dist (m),,e_asyFUV,e_asyNUV,log(FUV (W)),log(NUV (W)),e_logFUV,e_logNUV,Misc,,Lum_H? (erg/s),e_LH?,SFR_H? (solmass/yr),e_SFR_H?,Lum_H? (erg/s),e_LH?,SFR_H? (solmass/yr),e_SFR_H?,Lum_H? (erg/s),e_LH?,SFR_H? (solmass/yr),e_SFR_H?,Lum_FUV (erg/s),e_Lum_FUV,SFR_FUV (solmass/yr),e_SFR_FUV,log(SFRFUV/SFRH?),e_log(SFRFUV/SFRH?),log(SFRFUV/SFRH?),e_log(SFRFUV/SFRH?),log(SFRFUV/SFRH?),e_log(SFRFUV/SFRH?),UV Color Proxy??5.59log(FUV?/NUV?),e_UV Color proxy
NGC 0024,2.73,0.46,107.6,6.9,1101,96,7.3,2.3,2.25E+23,7.10E+22,,0.01,0.01,35.15,35.09,0.004,0.004,,,1.74E+37,1.14E+31,1.38E-04,8.97E-11,6.86E+38,4.35E+32,5.42E-03,3.43E-09,7.02E+39,4.46671E+33,5.55E-02,3.53E-08,1.41E+42,1.30E+40,4.66E-02,4.29E-04,2.53E+00,8.64E-04,9.34E-01,8.64E-04,-7.55E-02,8.64E-04,-6.00E-02,5.66E-03
NGC 0337,9.69,0.34,668,11,3184,34,22.4,2.3,6.91E+23,7.10E+22,,0.01,0.01,36.18,36.26,0.004,0.004,,,5.82E+38,1.21E+32,4.60E-03,9.58E-10,4.01E+40,8.26E+33,3.17E-01,6.53E-08,1.91E+41,3.93158E+34,1.51E+00,3.11E-07,1.51E+43,1.39E+41,4.99E-01,4.60E-03,2.04E+00,2.83E-03,1.98E-01,2.83E-03,-4.81E-01,2.83E-03,8.00E-02,5.66E-03
NGC 0628,,,81.4,8.6,878,75,22.4,2.3,6.91E+23,7.10E+22,,0.01,0.01,36.35,36.26,0.004,0.004,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.89E+39,1.13E+33,3.86E-02,8.92E-09,5.27E+40,1.17262E+34,4.17E-01,9.26E-08,2.24E+43,2.06E+41,7.39E-01,6.80E-03,#DIV/0!,#DIV/0!,1.28E+00,3.44E-03,2.49E-01,3.44E-03,-9.00E-02,5.66E-03
NGC 0925,8.76,0.36,345.2,8.3,1618,71,9.12,0.17,2.81E+23,5.25E+21,,0.01,0.01,36.02,35.93,0.004,0.004,,,8.72E+37,4.84E+30,6.89E-04,3.82E-11,3.44E+39,1.52E+32,2.71E-02,1.20E-09,1.61E+40,9.27341E+32,1.27E-01,7.33E-09,1.05E+43,9.64E+40,3.46E-01,3.18E-03,2.70E+00,2.35E-03,1.10E+00,2.35E-03,4.34E-01,2.35E-03,-9.00E-02,5.66E-03
NGC 1097,19.7,2.1,3067,56,5190,96,17.1,2.3,5.28E+23,7.10E+22,,0.04,0.03,36.3,36.27,0.016,0.012,,,6.89E+38,1.99E+32,5.45E-03,1.58E-09,1.07E+41,2.89E+34,8.48E-01,2.29E-07,1.82E+41,4.89719E+34,1.43E+00,3.87E-07,2.00E+43,7.35E+41,6.58E-01,2.43E-02,2.08E+00,1.30E-02,-1.10E-01,1.30E-02,-3.38E-01,1.30E-02,-3.00E-02,2.00E-02
NGC 1291,8.7,2.2,52,21,440,300,10.8,2.3,3.33E+23,7.10E+22,,0.01,0.01,35.22,35.38,0.004,0.004,Ring,,1.21E+38,6.02E+31,9.59E-04,4.75E-10,7.26E+38,4.26E+32,5.73E-03,3.37E-09,6.14E+39,4.93759E+33,4.85E-02,3.90E-08,1.66E+42,1.53E+40,5.48E-02,5.04E-04,1.76E+00,9.36E-04,9.80E-01,9.36E-04,5.26E-02,9.36E-04,1.60E-01,5.66E-03
NGC 1512,3,1.3,484,15,1079,72,11.8,2.3,3.64E+23,7.10E+22,,0.02,0.02,35.58,35.53,0.008,0.008,,,5.00E+37,2.91E+31,3.95E-04,2.30E-10,8.07E+39,3.15E+33,6.37E-02,2.49E-08,1.80E+40,7.11105E+33,1.42E-01,5.62E-08,3.80E+42,7.00E+40,1.25E-01,2.31E-03,2.50E+00,2.83E-03,2.94E-01,2.83E-03,-5.39E-02,2.83E-03,-5.00E-02,1.13E-02
NGC 1566,89.6,7,587,60,3700,110,20.4,2.3,6.30E+23,7.10E+22,,0.02,0.01,36.6,36.5,0.008,0.004,,,4.46E+39,1.06E+33,3.53E-02,8.41E-09,2.92E+40,7.24E+33,2.31E-01,5.72E-08,1.84E+41,4.19115E+34,1.46E+00,3.31E-07,3.98E+43,7.33E+41,1.31E+00,2.42E-02,1.57E+00,9.17E-03,7.55E-01,9.17E-03,-4.46E-02,9.17E-03,-1.00E-01,8.94E-03
NGC 2403,,,103.6,9.9,13420,600,3.13,0.14,9.66E+22,4.32E+21,,0.01,0.01,35.79,35.69,0.004,0.004,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+38,1.59E+31,9.60E-04,1.26E-10,1.57E+40,1.57353E+33,1.24E-01,1.24E-08,6.17E+42,5.68E+40,2.03E-01,1.87E-03,#DIV/0!,#DIV/0!,2.33E+00,1.80E-03,2.14E-01,1.80E-03,-1.00E-01,5.66E-03
NGC 2798,218,2.4,1258,16,1289,26,26.2,2.3,8.09E+23,7.10E+22,,0.01,0.01,35.28,35.43,0.004,0.004,Interacting,,1.79E+40,3.15E+33,1.41E-01,2.49E-08,1.03E+41,1.82E+34,8.16E-01,1.44E-07,1.06E+41,1.87138E+34,8.37E-01,1.48E-07,1.91E+42,1.75E+40,6.29E-02,5.79E-04,-3.52E-01,1.00E-03,-1.11E+00,1.00E-03,-1.12E+00,1.00E-03,1.50E-01,5.66E-03
